
Grupo,PROMEDIO1,PROMEDIO2,PROMEDIO3,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,Viveconmadre,Viveconpadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,UnionLibre,Viudo,RetiradoCluster,Numgrado,Edad,Hombre,Mujer
3 ,30.455,31.000,31.727,32.091,21,21,20,13,18,3 ,2,0,0,1,0,1,0,0,0,0,1,8,16,1,0
3 ,28.250,26.083,27.250,27.333,29,24,28,23,28,3 ,2,0,0,1,0,0,0,1,0,0,1,9,14,1,0
3 ,36.182,37.273,31.727,35.273,16,17,27,22,19,1 ,2,0,0,1,0,0,0,0,1,0,1,8,14,0,1
3 ,32.500,27.167,6.000,30.083,27,25,31,1,25,1 ,2,0,0,1,0,0,0,0,1,0,1,9,15,0,1
4 ,38.909,38.917,35.833,38.167,11,9,12,9,11,1 ,2,1,0,0,0,0,0,1,0,0,1,10,16,0,1
3 ,34.400,34.100,34.900,35.000,25,23,26,25,26,1 ,2,1,0,0,0,0,0,0,1,0,1,5,13,0,1
1 ,32.833,32.333,33.667,32.833,23,24,23,25,26,1 ,2,0,1,0,0,0,0,0,1,0,1,9,15,1,0
3 ,19.800,30.000,30.500,20.600,28,25,25,26,28,1 ,3,0,0,1,0,0,0,0,1,0,1,9,16,0,1
3 ,35.917,36.250,11.000,36.250,12,9,32,30,10,1 ,2,1,0,0,0,0,1,0,0,0,1,11,16,0,1
5 ,34.500,34.583,30.917,32.250,18,19,24,23,23,6 ,2,1,0,0,0,0,0,1,0,0,1,10,17,1,0
4 ,39.833,40.000,38.333,39.083,5,7,7,10,8,1 ,2,1,0,0,0,0,1,0,0,0,1,10,15,0,1
1 ,38.200,36.900,35.800,36.500,14,18,14,24,20,2 ,2,0,0,1,0,0,0,0,1,0,1,6,12,0,1
3 ,34.636,35.909,31.091,33.636,18,19,27,27,26,0 ,2,0,1,0,0,0,0,1,0,0,1,7,15,0,1
4 ,33.583,36.250,.000,35.333,23,9,1,1,14,1 ,4,0,0,1,0,1,0,0,0,0,1,11,16,0,1
2 ,36.417,22.000,.000,36.667,12,29,1,1,12,2 ,2,0,0,1,0,0,0,0,1,0,1,10,15,0,1
2 ,38.250,37.833,29.500,38.167,10,7,34,1,8,2 ,2,0,0,1,0,1,0,0,0,0,1,11,16,0,1
3 ,33.083,31.583,33.250,33.583,17,24,22,18,20,2 ,2,0,0,1,0,0,0,0,1,0,1,10,16,1,0
3 ,30.182,31.545,31.000,31.636,29,29,28,25,26,1 ,2,0,0,1,0,1,0,0,0,0,1,8,13,1,0
1 ,41.300,43.100,44.300,42.900,7,1,1,2,1,1 ,5,0,0,1,0,1,0,0,0,0,1,5,10,0,1
3 ,38.200,36.900,35.800,36.500,14,18,14,24,20,2 ,2,0,0,1,0,0,0,0,1,0,1,5,12,0,1
3 ,33.167,30.333,30.667,30.917,24,28,28,32,28,2 ,2,1,0,0,0,0,1,0,0,0,1,3,15,1,0
2 ,36.250,31.833,31.917,33.167,9,29,28,23,23,3 ,2,0,0,1,0,1,0,0,0,0,1,9,18,0,1
3 ,32.273,32.182,31.909,31.727,25,28,27,27,26,2 ,2,0,0,1,0,0,0,0,1,0,1,8,13,1,0
4 ,35.583,32.583,37.500,35.750,16,23,14,21,16,1 ,4,0,0,1,0,1,0,0,0,0,1,10,15,0,1
5 ,23.200,.000,.000,23.200,31,30,1,1,29,2 ,2,0,0,1,0,1,0,0,0,0,1,10,17,0,1
2 ,36.455,32.818,35.455,35.545,18,17,11,14,13,2 ,1,0,0,1,0,1,0,0,0,0,1,7,12,0,1
2 ,26.400,28.727,31.727,29.364,26,28,25,26,28,1 ,2,0,0,1,0,1,0,0,0,0,1,8,14,1,0
4 ,35.818,34.273,32.636,33.636,12,19,21,24,22,1 ,2,0,0,1,0,0,0,0,1,0,1,7,15,0,1
3 ,38.500,39.167,40.083,39.333,6,5,4,3,3,3 ,2,0,1,0,0,1,0,0,0,0,1,3,15,0,1
3 ,38.750,39.917,35.750,37.917,7,6,11,19,7,2 ,2,0,0,1,0,1,0,0,0,0,1,10,15,0,1
3 ,32.000,22.700,.000,28.333,24,31,1,1,32,1 ,2,0,1,0,0,0,1,0,0,0,1,11,16,0,1
3 ,31.455,30.636,29.818,31.636,27,30,26,22,27,2 ,2,0,0,1,0,0,0,0,1,0,1,7,13,0,1
2 ,32.000,37.583,36.750,35.583,23,8,8,12,10,2 ,2,0,0,1,0,1,0,0,0,0,1,9,16,0,1
1 ,28.455,29.727,27.000,30.091,31,31,28,2,31,2 ,2,1,0,0,0,0,1,0,0,0,1,8,16,1,0
4 ,33.167,30.333,30.667,30.917,24,28,28,32,28,2 ,2,1,0,0,0,0,1,0,0,0,1,8,15,1,0
1 ,32.417,.000,.000,32.417,25,30,31,30,27,1 ,2,0,1,0,0,0,1,0,0,0,1,10,15,0,1
7 ,29.727,10.000,.000,28.818,26,28,30,29,25,1 ,2,1,0,0,0,0,1,0,0,0,1,9,17,1,0
7 ,35.083,30.083,30.583,32.500,13,27,26,21,25,1 ,2,1,0,0,0,0,1,0,0,0,1,9,16,1,0
4 ,29.727,10.000,.000,28.818,26,28,30,29,25,1 ,2,1,0,0,0,0,1,0,0,0,1,7,17,1,0
7 ,35.818,34.273,32.636,33.636,12,19,21,24,22,1 ,2,0,0,1,0,0,0,0,1,0,1,9,15,0,1
1 ,27.636,32.818,27.636,29.545,28,22,28,30,25,1 ,2,0,0,1,0,0,0,0,1,0,1,7,16,0,1
3 ,31.250,30.167,33.083,32.167,29,27,18,21,23,2 ,2,0,0,1,0,0,0,0,1,0,1,11,17,1,0
4 ,34.583,.000,.000,34.583,17,29,30,30,13,3 ,2,0,1,0,0,1,0,0,0,0,1,9,16,0,1
5 ,28.750,31.167,32.167,32.083,28,22,29,18,24,4 ,3,1,0,0,0,0,0,1,0,0,1,10,16,0,1
2 ,33.455,31.455,34.636,34.636,21,23,18,6,19,3 ,2,0,0,1,0,1,0,0,0,0,1,8,17,0,1
1 ,32.333,32.000,15.000,31.417,25,26,26,1,31,1 ,2,1,0,0,0,0,1,0,0,0,1,10,17,1,0
4 ,35.083,30.083,30.583,32.500,13,27,26,21,25,1 ,2,1,0,0,0,0,1,0,0,0,1,8,16,1,0
1 ,33.750,36.250,33.333,34.417,20,9,24,20,19,2 ,2,0,1,0,0,0,0,0,1,0,1,9,17,0,1
2 ,33.833,34.583,24.182,31.417,22,17,26,1,23,3 ,1,1,0,0,0,0,1,0,0,0,1,10,17,0,1
2 ,31.545,31.091,35.000,32.909,29,28,20,29,25,3 ,2,0,0,1,0,0,0,1,0,0,1,8,14,0,1
2 ,38.500,26.143,.000,36.500,8,32,31,31,7,1 ,2,0,0,1,0,0,0,0,1,0,1,10,16,0,1
1 ,33.167,32.333,.000,33.000,24,20,1,1,27,2 ,3,0,0,1,0,1,0,0,0,0,1,11,18,1,0
1 ,37.364,25.700,.000,31.532,17,32,0,0,29,2 ,3,0,0,0,1,0,0,1,0,0,1,7,15,0,1
1 ,19.667,.000,.000,19.667,35,0,0,0,35,3 ,2,0,0,1,0,0,0,1,0,0,1,9,15,0,1
4 ,33.250,34.500,30.917,33.583,21,23,25,22,26,2 ,2,0,1,0,0,1,0,0,0,0,1,10,16,1,0
4 ,27.636,32.818,27.636,29.545,28,22,28,30,25,1 ,2,0,0,1,0,0,0,0,1,0,1,8,16,0,1
3 ,35.833,32.167,30.333,32.583,14,25,27,27,27,2 ,2,0,0,1,0,0,0,0,1,0,1,10,15,0,1
3 ,34.750,31.083,33.667,33.833,17,26,24,23,24,1 ,2,0,0,1,0,0,0,0,1,0,1,10,15,0,1
1 ,30.182,30.727,30.500,30.818,30,26,27,0,27,0 ,3,1,0,0,0,0,0,1,0,0,1,8,13,1,0
4 ,35.000,34.364,32.455,34.273,16,18,22,22,20,2 ,2,1,0,0,0,0,1,0,0,0,1,7,15,0,1
