ESTUDIANTE,NOMGRADO,GRUPO,PROMEDIO1,PROMEDIO2,PROMEDIO3,PROMEDIO4,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,SEXO,ViveCon,NUMHERMANO,FechaNacimiento,ESTADCIVIL,ESTRATO,Retirado,ANO,ViveconMadre,ViveconPadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,UnionLibre,Viudo,RetiradoCluster,numgrado,Edad,Hombre,Mujer
20100001  ,TERCERO                  ,03,31.700,28.000,40.000,.000,30.700,25,25,12,25,25,F,No registra,0 ,2003,no registra    ,2,0,2012,0,0,0,0,0,0,0,0,0,0,4,9,0,1
20100003  ,DECIMO                   ,01,35.000,34.750,33.417,36.417,35.000,13,16,24,9,13,M,Madre.Padre,2 ,2004,casado(a)(os)  ,3,0,2019,0,0,1,0,1,0,0,0,0,0,11,15,1,0
20100003  ,SEPTIMO                  ,01,38.909,39.364,37.000,35.000,37.727,9,10,17,30,15,M,Madre.Padre,2 ,2004,casado(a)(os)  ,3,0,2016,0,0,1,0,1,0,0,0,0,0,8,12,1,0
20100005  ,SEGUNDO                  ,01,38.273,37.545,40.182,37.727,38.455,19,20,13,19,18,F,Madre.Padre,2 ,2004,casado(a)(os)  ,2,0,2011,0,0,1,0,1,0,0,0,0,0,3,7,0,1
20100005  ,UNDECIMO                 ,04,40.167,40.333,40.000,40.167,.000,10,12,16,11,1,F,Madre.Padre,2 ,2004,casado(a)(os)  ,2,0,2020,0,0,1,0,1,0,0,0,0,0,12,16,0,1
20100006  ,CUARTO                   ,01,38.400,38.300,36.400,39.600,38.300,15,17,15,12,15,F,Madre,4 ,2003,separado(a)(os),2,0,2014,1,0,0,0,0,0,1,0,0,0,5,11,0,1
20100006  ,QUINTO                   ,01,37.200,38.000,37.900,38.200,37.900,17,13,15,16,16,F,Madre,4 ,2003,separado(a)(os),2,0,2015,1,0,0,0,0,0,1,0,0,0,6,12,0,1
20100006  ,SEGUNDO                  ,01,37.182,37.636,37.545,37.364,37.636,22,19,19,20,20,F,Madre,4 ,2003,separado(a)(os),2,0,2011,1,0,0,0,0,0,1,0,0,0,3,8,0,1
20100006  ,SEXTO                    ,03,39.273,39.000,40.455,41.909,40.273,16,11,10,8,10,F,Madre,4 ,2003,separado(a)(os),2,0,2016,1,0,0,0,0,0,1,0,0,0,7,13,0,1
20100006  ,TERCERO                  ,01,39.500,39.900,40.400,39.100,39.800,15,13,13,15,15,F,Madre,4 ,2003,separado(a)(os),2,0,2013,1,0,0,0,0,0,1,0,0,0,4,10,0,1
20100006  ,TERCERO                  ,02,35.700,34.900,34.800,36.556,35.800,22,21,26,22,23,F,Madre,4 ,2003,separado(a)(os),2,0,2012,1,0,0,0,0,0,1,0,0,0,4,9,0,1
20100007  ,SEPTIMO                  ,03,30.455,31.000,31.727,34.727,32.091,21,21,20,13,18,M,Madre.Padre,3 ,2003,casado(a)(os)  ,2,2020,2019,0,0,1,0,1,0,0,0,0,0,8,16,1,0
20100008  ,TERCERO                  ,02,45.700,44.400,45.400,46.222,45.500,4,2,3,2,3,F,Madre,1 ,2003,separado(a)(os),2,0,2012,1,0,0,0,0,0,1,0,0,0,4,9,0,1
20100009  ,DECIMO                   ,02,33.750,29.833,34.000,35.833,34.167,23,29,22,22,21,F,Madre.Padre,2 ,2004,union libre    ,2,0,2019,0,0,1,0,0,0,0,1,0,0,11,15,0,1
20100009  ,NOVENO                   ,05,40.909,39.545,41.545,41.818,41.091,10,11,8,8,9,F,Madre.Padre,2 ,2004,union libre    ,2,0,2015,0,0,1,0,0,0,0,1,0,0,10,11,0,1
20100009  ,OCTAVO                   ,04,38.667,34.750,32.083,31.583,34.417,6,12,25,21,13,F,Madre.Padre,2 ,2004,union libre    ,2,0,2017,0,0,1,0,0,0,0,1,0,0,9,13,0,1
20100009  ,SEXTO                    ,04,40.909,39.545,41.545,41.818,41.091,10,11,8,8,9,F,Madre.Padre,2 ,2004,union libre    ,2,0,2015,0,0,1,0,0,0,0,1,0,0,7,11,0,1
20100009  ,TERCERO                  ,02,42.100,42.900,42.300,43.000,42.800,10,6,6,6,7,F,Madre.Padre,2 ,2004,union libre    ,2,0,2012,0,0,1,0,0,0,0,1,0,0,4,8,0,1
20100009  ,UNDECIMO                 ,03,38.333,38.417,38.917,38.417,.000,13,11,12,14,1,F,Madre.Padre,2 ,2004,union libre    ,2,0,2020,0,0,1,0,0,0,0,1,0,0,12,16,0,1
20100009  ,UNDECIMO                 ,04,38.333,38.417,38.917,38.417,.000,13,11,12,14,1,F,Madre.Padre,2 ,2004,union libre    ,2,0,2020,0,0,1,0,0,0,0,1,0,0,12,16,0,1
20100010  ,CUARTO                   ,01,37.200,36.800,36.200,38.500,37.200,20,15,20,17,17,M,Madre,1 ,2004,viudo(a)       ,2,0,2013,1,0,0,0,0,0,0,0,1,0,5,9,1,0
20100010  ,UNDECIMO                 ,02,38.750,36.000,.000,37.667,.000,21,21,1,20,0,M,Madre,1 ,2004,viudo(a)       ,2,0,2021,1,0,0,0,0,0,0,0,1,0,12,17,1,0
20100011  ,CUARTO                   ,03,35.900,34.200,35.200,35.700,35.300,17,23,23,23,24,M,Madre,1 ,2004,soltero(a)(os) ,3,0,2013,1,0,0,0,0,1,0,0,0,0,5,9,1,0
20100013  ,UNDECIMO                 ,01,43.167,42.500,42.333,42.667,.000,4,5,5,4,1,F,Madre.Padre,2 ,2003,casado(a)(os)  ,2,0,2020,0,0,1,0,1,0,0,0,0,0,12,17,0,1
20100014  ,TERCERO                  ,03,36.000,36.300,34.800,38.875,36.400,17,20,18,11,16,M,Madre,2 ,2003,soltero(a)(os) ,2,0,2012,1,0,0,0,0,1,0,0,0,0,4,9,1,0
20100015  ,CUARTO                   ,01,38.500,36.100,37.800,38.200,37.600,15,20,13,19,16,M,Madre,3 ,2004,separado(a)(os),2,0,2013,1,0,0,0,0,0,1,0,0,0,5,9,1,0
20100015  ,TERCERO                  ,03,35.400,36.500,34.400,37.000,35.800,18,18,20,14,18,M,Madre,3 ,2004,separado(a)(os),2,0,2012,1,0,0,0,0,0,1,0,0,0,4,8,1,0
20100016  ,OCTAVO                   ,02,35.833,38.583,40.083,38.250,.000,24,17,13,18,1,M,Madre,1 ,2003,soltero(a)(os) ,1,0,2020,1,0,0,0,0,1,0,0,0,0,9,17,1,0
20100003  ,CUARTO                   ,03,42.300,41.200,38.900,37.900,40.200,3,6,7,14,8,M,Madre.Padre,2 ,2004,casado(a)(os)  ,3,0,2014,0,0,1,0,1,0,0,0,0,0,5,10,1,0
20100003  ,NOVENO                   ,01,35.750,36.250,36.167,35.417,35.917,11,11,14,21,14,M,Madre.Padre,2 ,2004,casado(a)(os)  ,3,0,2018,0,0,1,0,1,0,0,0,0,0,10,14,1,0
20100003  ,OCTAVO                   ,01,38.583,33.333,33.333,34.750,35.250,11,26,25,16,15,M,Madre.Padre,2 ,2004,casado(a)(os)  ,3,0,2017,0,0,1,0,1,0,0,0,0,0,9,13,1,0
20100003  ,SEXTO                    ,01,40.182,37.545,34.091,35.091,36.909,6,11,16,19,11,M,Madre.Padre,2 ,2004,casado(a)(os)  ,3,0,2015,0,0,1,0,1,0,0,0,0,0,7,11,1,0
20100004  ,OCTAVO                   ,03,26.750,31.250,33.917,30.833,30.917,30,28,25,29,29,M,Madre.Padre,3 ,2004,separado(a)(os),2,2019,2017,0,0,1,0,0,0,1,0,0,0,9,13,1,0
20100004  ,QUINTO                   ,03,39.400,37.800,37.300,37.700,38.300,13,15,16,15,16,M,Madre.Padre,3 ,2004,separado(a)(os),2,2019,2014,0,0,1,0,0,0,1,0,0,0,6,10,1,0
20100005  ,OCTAVO                   ,04,34.417,34.750,34.500,34.583,34.667,17,12,15,13,12,F,Madre.Padre,2 ,2004,casado(a)(os)  ,2,0,2017,0,0,1,0,1,0,0,0,0,0,9,13,0,1
20100005  ,PRIMERO                  ,01,34.900,33.900,37.600,38.000,36.500,27,28,20,20,24,F,Madre.Padre,2 ,2004,casado(a)(os)  ,2,0,2010,0,0,1,0,1,0,0,0,0,0,2,6,0,1
20100005  ,SEXTO                    ,02,36.909,32.818,34.455,34.818,34.909,17,26,15,23,19,F,Madre.Padre,2 ,2004,casado(a)(os)  ,2,0,2015,0,0,1,0,1,0,0,0,0,0,7,11,0,1
20100006  ,NOVENO                   ,04,41.333,39.750,36.417,42.750,40.083,6,6,9,5,6,F,Madre,4 ,2003,separado(a)(os),2,0,2019,1,0,0,0,0,0,1,0,0,0,10,16,0,1
20100006  ,PRIMERO                  ,01,36.000,34.300,37.200,37.700,36.500,21,26,22,22,24,F,Madre,4 ,2003,separado(a)(os),2,0,2010,1,0,0,0,0,0,1,0,0,0,2,7,0,1
20100006  ,UNDECIMO                 ,04,39.750,35.917,.000,38.167,.000,19,22,1,22,0,F,Madre,4 ,2003,separado(a)(os),2,0,2021,1,0,0,0,0,0,1,0,0,0,12,18,0,1
20100007  ,PRIMERO                  ,01,35.700,39.100,37.400,37.800,37.500,22,16,21,21,21,M,Madre.Padre,3 ,2003,casado(a)(os)  ,2,2020,2010,0,0,1,0,1,0,0,0,0,0,2,7,1,0
20100007  ,SEGUNDO                  ,01,30.364,33.273,34.000,33.545,32.818,31,29,28,32,31,M,Madre.Padre,3 ,2003,casado(a)(os)  ,2,2020,2011,0,0,1,0,1,0,0,0,0,0,3,8,1,0
20100007  ,TERCERO                  ,02,36.500,34.400,33.900,32.900,34.600,26,28,28,28,30,M,Madre.Padre,3 ,2003,casado(a)(os)  ,2,2020,2013,0,0,1,0,1,0,0,0,0,0,4,10,1,0
20100008  ,OCTAVO                   ,01,38.667,39.833,35.667,34.417,37.250,10,4,18,19,10,F,Madre,1 ,2003,separado(a)(os),2,0,2017,1,0,0,0,0,0,1,0,0,0,9,14,0,1
20100008  ,SEGUNDO                  ,01,44.455,44.273,45.909,43.182,44.545,6,4,2,6,3,F,Madre,1 ,2003,separado(a)(os),2,0,2011,1,0,0,0,0,0,1,0,0,0,3,8,0,1
20100009  ,SEGUNDO                  ,01,44.364,45.000,45.273,45.182,44.818,7,3,3,3,2,F,Madre.Padre,2 ,2004,union libre    ,2,0,2011,0,0,1,0,0,0,0,1,0,0,3,7,0,1
20100010  ,QUINTO                   ,02,35.600,33.900,37.300,37.800,36.100,17,24,16,16,20,M,Madre,1 ,2004,viudo(a)       ,2,0,2014,1,0,0,0,0,0,0,0,1,0,6,10,1,0
20100011  ,QUINTO                   ,04,35.700,33.600,35.500,37.800,35.900,21,24,21,17,21,M,Madre,1 ,2004,soltero(a)(os) ,3,0,2014,1,0,0,0,0,1,0,0,0,0,6,10,1,0
20100011  ,SEPTIMO                  ,03,33.909,36.182,33.909,37.545,35.364,22,21,24,13,18,M,Madre,1 ,2004,soltero(a)(os) ,3,0,2017,1,0,0,0,0,1,0,0,0,0,8,13,1,0
20100013  ,CUARTO                   ,01,39.900,39.300,37.000,38.800,38.900,13,8,17,15,11,F,Madre.Padre,2 ,2003,casado(a)(os)  ,2,0,2013,0,0,1,0,1,0,0,0,0,0,5,10,0,1
20100013  ,DECIMO                   ,01,37.167,38.417,37.167,37.250,37.667,7,6,11,7,5,F,Madre.Padre,2 ,2003,casado(a)(os)  ,2,0,2019,0,0,1,0,1,0,0,0,0,0,11,16,0,1
20100013  ,NOVENO                   ,01,38.083,40.667,39.667,40.250,39.750,4,2,5,5,5,F,Madre.Padre,2 ,2003,casado(a)(os)  ,2,0,2018,0,0,1,0,1,0,0,0,0,0,10,15,0,1
20100013  ,QUINTO                   ,03,39.500,40.400,39.500,41.500,40.500,12,10,9,7,8,F,Madre.Padre,2 ,2003,casado(a)(os)  ,2,0,2014,0,0,1,0,1,0,0,0,0,0,6,11,0,1
20100013  ,TERCERO                  ,01,42.100,38.900,38.900,38.500,39.700,3,9,9,10,7,F,Madre.Padre,2 ,2003,casado(a)(os)  ,2,0,2012,0,0,1,0,1,0,0,0,0,0,4,9,0,1
